,username,wither_skeleton,creeper,player,drowned,enderman,skeleton,zombie,stray,piglin,cave_spider,silverfish,spider,wolf,ender_dragon,iron_golem,vindicator,witch,zombie_villager,endermite,fox,vex,evoker,guardian,hoglin,phantom,ravager,shulker,wither,blaze,elder_guardian,husk,magma_cube,zombified_piglin,ghast,pillager,slime,piglin_brute,panda,armor_stand,bee,llama
74,willmick1,4.0,16.0,16.0,2.0,10.0,28.0,4.0,,11.0,,,1.0,,,,1.0,,1.0,,,,1.0,16.0,7.0,2.0,1.0,,,,,4.0,4.0,,1.0,,1.0,2.0,,,,
75,MaximusDesmus,,5.0,7.0,,,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Dormant_Demon,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,CarromaPt,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Aegarion,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,miekoooo,,,23.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CodyF,,1.0,15.0,1.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Ellie0473,,2.0,5.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Joshman_,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,JefforyKnightVA,,3.0,25.0,2.0,3.0,7.0,2.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
84,DynamiteP,,2.0,59.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,cokiemo,,2.0,12.0,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,JakeTheDragon_,,5.0,4.0,,3.0,2.0,1.0,,5.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,7.0,,,,
