,username,spider,skeleton,magma_cube,piglin,pig,creeper,sheep,zombie,ghast,cow,enderman,chicken,zombie_villager,axolotl,blaze,cat,cave_spider,drowned,elder_guardian,glow_squid,guardian,hoglin,horse,iron_golem,phantom,piglin_brute,pillager,salmon,shulker,silverfish,slime,squid,trader_llama,witch,wither,wither_skeleton,zombified_piglin,wandering_trader,stray,bat,cod,endermite,evoker,husk,rabbit,ravager,vindicator,llama,wolf,bee,turtle,ender_dragon,panda,parrot,polar_bear,strider,tropical_fish,vex,pufferfish,skeleton_horse,villager,donkey,mooshroom,fox,zoglin,zombie_horse,dolphin,goat,snow_golem,giant,mule,ocelot
51,Rich_U,80.0,217.0,53.0,20.0,9.0,148.0,5.0,400.0,12.0,43.0,2018.0,552.0,8.0,,1291.0,6.0,65.0,144696.0,24.0,2.0,,35.0,9.0,1.0,15.0,1.0,210833.0,1.0,48.0,11.0,420.0,2.0,11.0,34001.0,42.0,22926.0,128282.0,6.0,,4.0,25.0,,21521.0,72.0,,4.0,126690.0,2.0,3.0,,,,,,,,,3.0,,,1.0,,,,,,,,1.0,,,
52,Wither_Dust,3.0,7.0,,,9.0,10.0,7.0,10.0,,11.0,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
53,mantrathijs,1.0,3.0,,3.0,4.0,,1.0,11.0,,,,2.0,,,,,,,,,,2.0,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Cognetry,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,TyphoonFoN,29.0,126.0,1.0,53.0,22.0,56.0,25.0,105.0,1.0,11.0,1824.0,5.0,3.0,,3.0,,2.0,28.0,9.0,,8.0,39.0,,,,,,2.0,86.0,2.0,,7.0,1.0,2.0,,1.0,6.0,1.0,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
56,DibsTheHorse,23.0,68.0,2.0,20.0,26.0,39.0,77.0,236.0,,51.0,6102.0,100.0,4.0,,3.0,,,8.0,,,,25.0,,,20.0,,,8.0,,28.0,,3.0,,1.0,,4.0,3.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,LiquidGinger,22.0,36.0,,13.0,1.0,34.0,11.0,12.0,,10.0,2203.0,,3.0,,,,,1.0,,,,2.0,,,4.0,,3.0,16.0,14.0,,,6.0,,,,,,,,,,,,23.0,2.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,
58,Chexse_,206.0,2170.0,75.0,211.0,41.0,368.0,21.0,408.0,19.0,78.0,34764.0,64.0,7.0,,4.0,,7.0,65.0,3.0,6.0,16.0,125.0,1.0,2.0,71.0,2.0,38.0,23.0,23.0,1.0,55.0,117.0,3.0,7.0,1.0,43.0,80568.0,14.0,1.0,3.0,2.0,13.0,1.0,273.0,14.0,4.0,11.0,2.0,,20.0,3.0,,,3.0,1.0,1.0,13.0,5.0,2.0,,40.0,,,1.0,,,,4.0,1.0,,,
59,Flynnium_,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,SenseiRain,1.0,6.0,,,11.0,1.0,7.0,29.0,,5.0,264.0,5.0,1.0,,,,1.0,,,,,3.0,,,,,,2.0,,1.0,,,,,,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
