,username,interact_with_crafting_table,open_barrel,open_shulker_box,leave_game,time_since_death,damage_resisted,sprint_one_cm,drop,deaths,jump,walk_on_water_one_cm,enchant_item,interact_with_furnace,play_one_minute,sleep_in_bed,open_enderchest,damage_dealt,crouch_one_cm,interact_with_smoker,interact_with_smithing_table,mob_kills,interact_with_anvil,inspect_hopper,climb_one_cm,walk_one_cm,sneak_time,walk_under_water_one_cm,boat_one_cm,interact_with_lectern,interact_with_blast_furnace,interact_with_grindstone,time_since_rest,damage_taken,swim_one_cm,fly_one_cm,open_chest,aviate_one_cm,fall_one_cm,interact_with_stonecutter,play_time,total_world_time,animals_bred,bell_ring,damage_absorbed,damage_blocked_by_shield,damage_dealt_absorbed,fish_caught,horse_one_cm,inspect_dispenser,interact_with_beacon,interact_with_brewingstand,interact_with_cartography_table,play_noteblock,play_record,player_kills,talked_to_villager,traded_with_villager,tune_noteblock,interact_with_loom,inspect_dropper,pot_flower,raid_trigger,raid_win,minecart_one_cm,eat_cake_slice,strider_one_cm,fill_cauldron,target_hit,trigger_trapped_chest,use_cauldron,clean_shulker_box,interact_with_campfire,pig_one_cm,clean_banner,damage_dealt_resisted
33,JackinSac,21.0,183.0,208.0,4.0,6061.0,407.0,252688.0,6.0,6.0,2976.0,7363.0,1.0,10.0,233615.0,,156.0,37209.0,2031.0,2.0,2.0,1215.0,16.0,22.0,89078.0,933827.0,1510.0,51184.0,40511.0,,,,6081.0,4041.0,4852.0,2184154.0,251.0,,30132.0,1.0,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,5.0,,,,,,,,,,
34,v1nn1eeee,5.0,,3.0,3.0,2865.0,2.0,256175.0,4.0,1.0,1801.0,21322.0,,,67680.0,,2.0,21.0,4927.0,,,,,,1592.0,216858.0,1867.0,6025.0,14233.0,,,,2885.0,1013.0,12120.0,441084.0,20.0,,42406.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Janky,,17.0,,2.0,26141.0,8.0,13709.0,,,296.0,643.0,,,,,2.0,,2550.0,,,,,,914.0,249729.0,434.0,383.0,,4.0,,,26141.0,72.0,,60060.0,23.0,,5554.0,,26141.0,26141.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bibilita,83.0,1.0,34.0,6.0,513980.0,,515644.0,32.0,,2700.0,35108.0,,254.0,,2.0,,1566.0,8055.0,,,8.0,,,79446.0,2569303.0,4041.0,7517.0,22742.0,,16.0,,275862.0,1263.0,39589.0,44148.0,108.0,,19557.0,,513980.0,513980.0,12.0,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Starboy887,1333.0,984.0,1143.0,524.0,1263.0,5767.0,37515115.0,8602.0,456.0,193149.0,1197456.0,,2106.0,,153.0,481.0,277805.0,356420.0,1.0,22.0,10155.0,121.0,237.0,1694385.0,46772266.0,209511.0,1789059.0,1689983.0,27.0,6.0,4.0,1283.0,259485.0,2341951.0,50845916.0,9780.0,131720087.0,4456522.0,77.0,19591162.0,3469857.0,187.0,119.0,,270.0,5.0,,1234224.0,36.0,32.0,217.0,,21.0,46.0,40.0,357.0,114.0,657.0,2.0,39.0,15.0,9.0,10.0,290364.0,35.0,152782.0,4.0,,,23.0,,791.0,,,
38,thatweirdopix,595.0,2410.0,4661.0,182.0,1049330.0,9400.0,11780186.0,1673.0,60.0,76050.0,1217281.0,7.0,196.0,,80.0,531.0,180810.0,2226468.0,,7.0,15881.0,181.0,94.0,425237.0,26425562.0,818214.0,5290603.0,3152735.0,66.0,,5.0,249977.0,76131.0,2155586.0,14408322.0,6477.0,167947144.0,1847385.0,17.0,13187627.0,12196611.0,59.0,,240.0,,12.0,441.0,2452.0,15.0,31.0,243.0,,2.0,5.0,5.0,100.0,34.0,21548.0,16.0,,1.0,,,447240.0,11.0,,,,,,,,520.0,,
39,poopeth,1498.0,8342.0,6972.0,792.0,35469.0,50246.0,34029754.0,9866.0,140.0,169258.0,2134035.0,54.0,1193.0,,106.0,436.0,594319.0,3385022.0,12.0,38.0,23780.0,263.0,372.0,1249646.0,53290785.0,878064.0,3208944.0,4468337.0,118.0,3.0,34.0,35489.0,271779.0,822837.0,58376137.0,7716.0,312389305.0,5515742.0,3.0,36618215.0,618410.0,12.0,7.0,335.0,3752.0,42.0,,9650.0,45.0,43.0,33.0,,119.0,28.0,55.0,499.0,711.0,314.0,17.0,133.0,4.0,1.0,1.0,717883.0,,876.0,4.0,,,22.0,,,235.0,,
40,Areoki,434.0,385.0,2337.0,40.0,316862.0,56.0,8854708.0,672.0,18.0,36661.0,514490.0,18.0,580.0,,52.0,2.0,95150.0,363347.0,45.0,4.0,612.0,29.0,103.0,8800.0,20471399.0,129476.0,279485.0,72218.0,2.0,407.0,3.0,39242.0,29981.0,317511.0,4991112.0,2794.0,1632742.0,846548.0,28.0,5519788.0,5519788.0,210.0,1.0,257.0,,,,,,6.0,,3.0,,,,232.0,376.0,,1.0,,,,,16062.0,10.0,,,,,,,,,,
41,ToastyMans,295.0,207.0,1358.0,102.0,57896.0,4933.0,18418208.0,1045.0,25.0,48958.0,391974.0,,412.0,,49.0,16.0,153923.0,495172.0,,5.0,8678.0,63.0,7.0,228391.0,16194733.0,164800.0,870574.0,846442.0,23.0,,,57916.0,51034.0,283041.0,10730624.0,1543.0,127985417.0,1305522.0,5.0,7976859.0,7976859.0,163.0,,489.0,50.0,124.0,,,5.0,29.0,8.0,2.0,1.0,,7.0,36.0,66.0,23.0,1.0,1.0,2.0,,2.0,5674.0,8.0,,1.0,,,3.0,,,,,
42,Jbruno17,246.0,154.0,65.0,98.0,218527.0,1963.0,5345252.0,346.0,18.0,26305.0,211505.0,200.0,345.0,,43.0,195.0,70199.0,523768.0,8.0,3.0,23652.0,59.0,1.0,165179.0,7995316.0,163929.0,192098.0,554136.0,8.0,,6.0,16172.0,24389.0,139138.0,5741035.0,1735.0,17164493.0,593761.0,3.0,3169181.0,3169181.0,1.0,2.0,,30.0,,22.0,,9.0,,1.0,,2.0,,,61.0,44.0,37.0,1.0,,,,,109712.0,,,,,,,,,,,
